datetime,Sector,Hydroelectric Power,Geothermal Energy,Solar Energy,Wind Energy,Wood Energy,Waste Energy,"Fuel Ethanol, Excluding Denaturant",Biomass Losses and Co-products,Biomass Energy,Total Renewable Energy,Renewable Diesel Fuel,Other Biofuels,Conventional Hydroelectric Power,Biodiesel
1973-01-01,Commerical,,,,,0.57,,,,0.57,0.57,,,,
1973-01-01,Electric Power,,0.49,,,0.054,0.157,,,0.211,89.223,,,88.522,
1973-01-01,Industrial,1.04,,,,98.933,,,,98.933,99.973,,,,
1973-01-01,Residential,,,,,30.074,,,,,30.074,,,,
1973-01-01,Transportation,,,,,,,,,,,,,,
1973-02-01,Commerical,,,,,0.515,,,,0.515,0.515,,,,
1973-02-01,Electric Power,,0.448,,,0.157,0.144,,,0.301,79.331,,,78.582,
1973-02-01,Industrial,0.962,,,,89.359,,,,89.359,90.32,,,,
1973-02-01,Residential,,,,,27.164,,,,,27.164,,,,
1973-02-01,Transportation,,,,,,,,,,,,,,
1973-03-01,Commerical,,,,,0.57,,,,0.57,0.57,,,,
1973-03-01,Electric Power,,0.464,,,0.186,0.176,,,0.362,88.046,,,87.22,
1973-03-01,Industrial,1.064,,,,98.933,,,,98.933,99.997,,,,
1973-03-01,Residential,,,,,30.074,,,,,30.074,,,,
1973-03-01,Transportation,,,,,,,,,,,,,,
1973-04-01,Commerical,,,,,0.551,,,,0.551,0.551,,,,
1973-04-01,Electric Power,,0.542,,,0.066,0.174,,,0.24,82.917,,,82.136,
1973-04-01,Industrial,1.016,,,,95.741,,,,95.741,96.758,,,,
1973-04-01,Residential,,,,,29.104,,,,,29.104,,,,
1973-04-01,Transportation,,,,,,,,,,,,,,
1973-05-01,Commerical,,,,,0.57,,,,0.57,0.57,,,,
1973-05-01,Electric Power,,0.505,,,0.048,0.21,,,0.258,85.357,,,84.594,
1973-05-01,Industrial,1.049,,,,98.933,,,,98.933,99.981,,,,
1973-05-01,Residential,,,,,30.074,,,,,30.074,,,,
1973-05-01,Transportation,,,,,,,,,,,,,,
1973-06-01,Commerical,,,,,0.551,,,,0.551,0.551,,,,
1973-06-01,Electric Power,,0.579,,,0.039,0.176,,,0.214,81.835,,,81.042,
1973-06-01,Industrial,1.018,,,,95.741,,,,95.741,96.759,,,,
1973-06-01,Residential,,,,,29.104,,,,,29.104,,,,
1973-06-01,Transportation,,,,,,,,,,,,,,
1973-07-01,Commerical,,,,,0.57,,,,0.57,0.57,,,,
1973-07-01,Electric Power,,0.614,,,0.04,0.17,,,0.21,77.317,,,76.493,
